Dataset,Accuracy,Precision,Recall,F-Score,ROC-AUC
JM1,0.78,0.77,0.78,0.77,0.71
KC3,0.8,0.81,0.8,0.79,0.76
MC1,0.98,0.98,0.98,0.98,0.88
MC2,0.68,0.7,0.68,0.67,0.73
MW1,0.85,0.88,0.85,0.86,0.64
PC1,0.91,0.92,0.91,0.91,0.88
PC2,0.97,0.96,0.97,0.96,0.85
PC3,0.84,0.85,0.84,0.84,0.84
PC4,0.9,0.9,0.9,0.9,0.93
PC5,0.77,0.77,0.77,0.77,0.81
